"(0, 0.28683785)","(1, 0.2730514)","(2, 0.104898244)","(3, 0.22719309)","(4, 0.10801937)"
"(0, 0.15945284)","(1, 0.117214635)","(2, 0.4355459)","(3, 0.24578741)","(4, 0.04199921)"
"(0, 0.20215803)","(1, 0.31938058)","(2, 0.036826253)","(3, 0.078117594)","(4, 0.36351755)"
"(0, 0.14319003)","(1, 0.023083134)","(2, 0.29792616)","(3, 0.262261)","(4, 0.2735397)"
"(0, 0.0118985465)","(1, 0.20267099)","(2, 0.54886836)","(3, 0.18504788)","(4, 0.051514205)"
"(0, 0.46352795)","(1, 0.061763518)","(2, 0.11162789)","(3, 0.217732)","(4, 0.14534867)"
"(0, 0.1256755)","(1, 0.31347623)","(2, 0.33965385)","(3, 0.018611368)","(4, 0.20258307)"
"(0, 0.21249752)","(1, 0.085002996)","(2, 0.2540475)","(3, 0.19663122)","(4, 0.25182077)"
"(0, 0.19628711)","(1, 0.12101373)","(2, 0.18950129)","(3, 0.018349068)","(4, 0.47484878)"
"(0, 0.20141631)","(1, 0.1519852)","(2, 0.2740231)","(3, 0.044421453)","(4, 0.32815394)"
"(0, 0.2625933)","(1, 0.20133759)","(2, 0.40815526)","(3, 0.093252935)","(4, 0.034660954)"
"(0, 0.05632451)","(1, 0.18144631)","(2, 0.2823718)","(3, 0.24812464)","(4, 0.23173277)"
"(0, 0.099493876)","(1, 0.21496175)","(2, 0.42793855)","(3, 0.12055134)","(4, 0.1370545)"
"(0, 0.016228842)","(1, 0.061941884)","(2, 0.49262795)","(3, 0.2832777)","(4, 0.14592363)"
"(0, 0.1325834)","(1, 0.16232835)","(2, 0.32687443)","(3, 0.27547172)","(4, 0.10274211)"
"(0, 0.32952943)","(1, 0.20565096)","(2, 0.1299156)","(3, 0.2855685)","(4, 0.04933551)"
"(0, 0.2228998)","(1, 0.14336607)","(2, 0.18981689)","(3, 0.16823949)","(4, 0.27567774)"
"(0, 0.28720662)","(1, 0.38035852)","(2, 0.027583389)","(3, 0.22210583)","(4, 0.082745664)"
"(0, 0.33725986)","(1, 0.22622207)","(2, 0.15533812)","(3, 0.11747982)","(4, 0.16370016)"
"(0, 0.3479147)","(1, 0.19506504)","(2, 0.027143458)","(3, 0.1358984)","(4, 0.29397842)"
"(0, 0.03339912)","(1, 0.22812696)","(2, 0.2544495)","(3, 0.23511639)","(4, 0.24890809)"
"(0, 0.2589868)","(1, 0.20361741)","(2, 0.2905945)","(3, 0.09555696)","(4, 0.15124436)"
"(0, 0.05999199)","(1, 0.189386)","(2, 0.50544906)","(3, 0.09873866)","(4, 0.14643432)"
"(0, 0.33418068)","(1, 0.23289391)","(2, 0.19232418)","(3, 0.21122307)","(4, 0.029378125)"
"(0, 0.2961566)","(1, 0.1403691)","(2, 0.25264302)","(3, 0.073010184)","(4, 0.23782107)"
"(0, 0.23778276)","(1, 0.22994967)","(2, 0.057248205)","(3, 0.36448666)","(4, 0.11053273)"
"(0, 0.062129267)","(1, 0.2289717)","(2, 0.29691672)","(3, 0.3207453)","(4, 0.091237016)"
"(0, 0.21408664)","(1, 0.41364774)","(2, 0.047177296)","(3, 0.0978819)","(4, 0.22720645)"
"(0, 0.22774081)","(1, 0.31101224)","(2, 0.21574236)","(3, 0.15597999)","(4, 0.08952461)"
"(0, 0.2186291)","(1, 0.18094827)","(2, 0.13343358)","(3, 0.326099)","(4, 0.14089003)"
"(0, 0.23138548)","(1, 0.35904235)","(2, 0.105299875)","(3, 0.057490546)","(4, 0.24678174)"
"(0, 0.044861995)","(1, 0.050449353)","(2, 0.17754099)","(3, 0.20854384)","(4, 0.5186038)"
"(0, 0.19710043)","(1, 0.17406134)","(2, 0.13277932)","(3, 0.1893739)","(4, 0.30668497)"
"(0, 0.22344315)","(1, 0.083349116)","(2, 0.19906807)","(3, 0.3177683)","(4, 0.17637135)"
"(0, 0.295201)","(1, 0.16476375)","(2, 0.30496055)","(3, 0.19661137)","(4, 0.0384633)"
"(0, 0.16038817)","(1, 0.49548888)","(2, 0.15924041)","(3, 0.15918434)","(4, 0.025698168)"
"(0, 0.18218142)","(1, 0.24194773)","(2, 0.19856253)","(3, 0.22485429)","(4, 0.152454)"
"(0, 0.122407965)","(1, 0.35728806)","(2, 0.058698762)","(3, 0.28460893)","(4, 0.1769963)"
"(0, 0.036283813)","(1, 0.18381575)","(2, 0.18835412)","(3, 0.5764886)","(4, 0.0150577)"
"(0, 0.05621287)","(1, 0.2805149)","(2, 0.34710068)","(3, 0.20008674)","(4, 0.11608487)"
"(0, 0.08853577)","(1, 0.24749264)","(2, 0.2864647)","(3, 0.09077587)","(4, 0.286731)"
"(0, 0.28106683)","(1, 0.19433245)","(2, 0.17407939)","(3, 0.12303901)","(4, 0.22748235)"
"(0, 0.21990718)","(1, 0.050950702)","(2, 0.15823217)","(3, 0.15902165)","(4, 0.4118883)"
"(0, 0.013228233)","(1, 0.2188226)","(2, 0.19988282)","(3, 0.38251516)","(4, 0.18555121)"
"(0, 0.34150532)","(1, 0.11834933)","(2, 0.13556035)","(3, 0.11616122)","(4, 0.2884238)"
